smart contract path,number of bugs detected
unchecked_low_level_calls/0x958a8f594101d2c0485a52319f29b2647f2ebc06/0x958a8f594101d2c0485a52319f29b2647f2ebc06.bugs.json,0
unchecked_low_level_calls/0xec329ffc97d75fe03428ae155fc7793431487f63/0xec329ffc97d75fe03428ae155fc7793431487f63.bugs.json,0
unchecked_low_level_calls/0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01/0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01.bugs.json,0
unchecked_low_level_calls/0x8fd1e427396ddb511533cf9abdbebd0a7e08da35/0x8fd1e427396ddb511533cf9abdbebd0a7e08da35.bugs.json,0
unchecked_low_level_calls/0x84d9ec85c9c568eb332b7226a8f826d897e0a4a8/0x84d9ec85c9c568eb332b7226a8f826d897e0a4a8.bugs.json,0
unchecked_low_level_calls/0x4a66ad0bca2d700f11e1f2fc2c106f7d3264504c/0x4a66ad0bca2d700f11e1f2fc2c106f7d3264504c.bugs.json,0
unchecked_low_level_calls/0xf2570186500a46986f3139f65afedc2afe4f445d/0xf2570186500a46986f3139f65afedc2afe4f445d.bugs.json,0
unchecked_low_level_calls/0x39cfd754c85023648bf003bea2dd498c5612abfa/0x39cfd754c85023648bf003bea2dd498c5612abfa.bugs.json,0
bad_randomness/random_number_generator/random_number_generator.bugs.json,0
bad_randomness/lottery/lottery.bugs.json,0
arithmetic/integer_overflow_benign_1/integer_overflow_benign_1.bugs.json,0
arithmetic/BECToken/BECToken.bugs.json,0
denial_of_service/dos_number/dos_number.bugs.json,0
denial_of_service/send_loop/send_loop.bugs.json,0
denial_of_service/auction/auction.bugs.json,0
denial_of_service/dos_simple/dos_simple.bugs.json,0
reentrancy/modifier_reentrancy/modifier_reentrancy.bugs.json,0
time_manipulation/timed_crowdsale/timed_crowdsale.bugs.json,0
time_manipulation/lottopollo/lottopollo.bugs.json,0
front_running/ERC20/ERC20.bugs.json,0
front_running/FindThisHash/FindThisHash.bugs.json,0
front_running/eth_tx_order_dependence_minimal/eth_tx_order_dependence_minimal.bugs.json,0
other/name_registrar/name_registrar.bugs.json,0
access_control/wallet_02_refund_nosub/wallet_02_refund_nosub.bugs.json,0
access_control/multiowned_vulnerable/multiowned_vulnerable.bugs.json,0
access_control/unprotected0/unprotected0.bugs.json,0
